epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8472,2.19382,5.13652,1.76424,0.2746,0.11714,0.02615,0.01547,1.66052,4.76454,1.53056,6.672e-05,6.672e-05,6.672e-05
2,45.9265,1.50313,3.0359,1.28078,0.18558,0.55312,0.23212,0.15517,1.26036,3.9676,1.25461,0.000134871,0.000134871,0.000134871
3,59.7734,1.36947,2.16778,1.21778,0.24232,0.69864,0.33442,0.21482,1.24035,2.15307,1.24185,0.000201647,0.000201647,0.000201647
4,73.1952,1.34076,1.90429,1.19853,0.32749,0.68601,0.41297,0.26723,1.20561,1.70735,1.22786,0.000267046,0.000267046,0.000267046
5,86.7458,1.29941,1.77065,1.17024,0.35669,0.73625,0.44295,0.29352,1.19322,1.58184,1.20039,0.000266991,0.000266991,0.000266991
6,100.023,1.26008,1.67057,1.16836,0.3622,0.73613,0.43982,0.29105,1.1803,1.54966,1.20026,0.000264239,0.000264239,0.000264239
7,111.985,1.22973,1.57923,1.14629,0.40151,0.79826,0.47655,0.3139,1.16777,1.46929,1.17532,0.000261487,0.000261487,0.000261487
8,124.984,1.23359,1.55453,1.14434,0.42819,0.77977,0.55712,0.37655,1.14613,1.40547,1.17551,0.000258735,0.000258735,0.000258735
9,137.505,1.19675,1.49236,1.1327,0.42955,0.81034,0.51548,0.34564,1.13959,1.37332,1.17172,0.000255982,0.000255982,0.000255982
10,148.562,1.20754,1.4277,1.13852,0.44608,0.84178,0.53341,0.35604,1.14673,1.36152,1.19084,0.00025323,0.00025323,0.00025323
11,160.531,1.20713,1.4137,1.13945,0.49621,0.8068,0.60956,0.40799,1.12175,1.25205,1.18114,0.000250478,0.000250478,0.000250478
12,173.797,1.17957,1.3794,1.12597,0.44061,0.87515,0.49113,0.32711,1.12046,1.34758,1.17025,0.000247726,0.000247726,0.000247726
