epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,185.525,1.18774,1.33746,1.12376,0.47964,0.84153,0.61181,0.41607,1.13088,1.21664,1.16426,0.000244974,0.000244974,0.000244974
14,198.684,1.18156,1.31459,1.11768,0.49113,0.8418,0.6466,0.44214,1.13128,1.19828,1.16566,0.000242221,0.000242221,0.000242221
15,211.896,1.16123,1.29693,1.10286,0.40205,0.80375,0.50159,0.3356,1.11628,1.36671,1.17444,0.000239469,0.000239469,0.000239469
16,222.802,1.15689,1.30621,1.10942,0.48358,0.83938,0.63529,0.42948,1.13985,1.19869,1.16892,0.000236717,0.000236717,0.000236717
17,234.638,1.15449,1.25106,1.09627,0.4392,0.87294,0.54864,0.36364,1.17226,1.28209,1.15739,0.000233965,0.000233965,0.000233965
18,246.47,1.14236,1.21885,1.08667,0.50579,0.84199,0.66054,0.44948,1.14177,1.19893,1.15765,0.000231213,0.000231213,0.000231213
19,260.091,1.15002,1.17758,1.09558,0.55611,0.8042,0.72001,0.49343,1.15885,1.13556,1.157,0.00022846,0.00022846,0.00022846
20,273.572,1.13589,1.18729,1.10056,0.60095,0.76773,0.73367,0.50592,1.11819,1.0853,1.14325,0.000225708,0.000225708,0.000225708
21,286.883,1.11873,1.12611,1.08809,0.55417,0.81633,0.69069,0.46405,1.13944,1.14042,1.14933,0.000222956,0.000222956,0.000222956
22,298.599,1.15358,1.11327,1.10192,0.56362,0.79234,0.70593,0.47899,1.12477,1.18377,1.16778,0.000220204,0.000220204,0.000220204
23,309.329,1.11994,1.08073,1.08728,0.61178,0.78073,0.70876,0.47513,1.1036,1.11439,1.157,0.000217452,0.000217452,0.000217452
24,320.655,1.10647,1.05422,1.07349,0.72567,0.80684,0.82823,0.55523,1.14062,0.96492,1.14911,0.000214699,0.000214699,0.000214699
25,333.696,1.10695,1.03296,1.0817,0.51894,0.73874,0.61904,0.42374,1.10392,1.27775,1.14443,0.000211947,0.000211947,0.000211947
26,345.817,1.12568,0.99928,1.08274,0.71049,0.8046,0.79474,0.5303,1.12944,1.02038,1.14945,0.000209195,0.000209195,0.000209195
27,357.442,1.09077,0.98751,1.07849,0.58654,0.79677,0.73079,0.50647,1.08897,1.10976,1.12946,0.000206443,0.000206443,0.000206443
28,366.764,1.06996,0.94759,1.06572,0.47625,0.73931,0.62234,0.41612,1.14197,1.51169,1.14902,0.000203691,0.000203691,0.000203691
29,377.839,1.09629,0.92712,1.06544,0.59906,0.7974,0.72075,0.48131,1.12878,1.12659,1.14755,0.000200938,0.000200938,0.000200938
30,389.29,1.07476,0.8768,1.0613,0.70366,0.79562,0.81704,0.53197,1.17442,1.02652,1.15024,0.000198186,0.000198186,0.000198186
31,402.739,1.09209,0.8813,1.0582,0.75134,0.8544,0.84822,0.57857,1.09977,0.88836,1.12993,0.000195434,0.000195434,0.000195434
32,415.916,1.07551,0.8741,1.0693,0.73082,0.82509,0.81945,0.55417,1.10183,1.00373,1.13451,0.000192682,0.000192682,0.000192682
33,426.541,1.04163,0.82421,1.05621,0.8534,0.88942,0.91691,0.63181,1.08298,0.77502,1.12559,0.00018993,0.00018993,0.00018993
34,439.337,1.05725,0.82356,1.05105,0.76122,0.85229,0.85798,0.59221,1.07089,0.95078,1.12373,0.000187177,0.000187177,0.000187177
35,451.316,1.07777,0.81929,1.06279,0.69077,0.80024,0.8029,0.56254,1.08712,1.00742,1.14086,0.000184425,0.000184425,0.000184425
36,463.053,1.06027,0.79345,1.05536,0.73638,0.79348,0.80359,0.55423,1.10035,1.02086,1.1364,0.000181673,0.000181673,0.000181673
37,475,1.07428,0.77509,1.066,0.7749,0.81781,0.82459,0.56051,1.12231,0.96408,1.13925,0.000178921,0.000178921,0.000178921
38,486.223,1.04452,0.76243,1.04816,0.85815,0.85489,0.89721,0.61315,1.10568,0.82458,1.138,0.000176169,0.000176169,0.000176169
39,496.878,1.0365,0.77669,1.05261,0.85659,0.87305,0.90428,0.62347,1.082,0.78006,1.12599,0.000173416,0.000173416,0.000173416
40,508.539,1.03696,0.75086,1.04636,0.87253,0.87352,0.9149,0.62371,1.09829,0.7658,1.13723,0.000170664,0.000170664,0.000170664
41,520.454,1.04578,0.74691,1.04925,0.80544,0.84765,0.87476,0.60706,1.07799,0.85218,1.121,0.000167912,0.000167912,0.000167912
42,532.334,1.02607,0.74615,1.04068,0.76121,0.81347,0.83463,0.57819,1.09615,0.96819,1.1234,0.00016516,0.00016516,0.00016516
43,543.019,1.03618,0.72931,1.04664,0.84594,0.87559,0.89414,0.60932,1.11537,0.80562,1.14432,0.000162408,0.000162408,0.000162408
44,553.63,1.03489,0.71732,1.03919,0.86665,0.88785,0.91025,0.62858,1.08711,0.78643,1.12321,0.000159655,0.000159655,0.000159655
45,564.519,1.03836,0.70099,1.04284,0.7886,0.82594,0.8594,0.59653,1.0913,0.91587,1.13246,0.000156903,0.000156903,0.000156903
46,577.852,1.04174,0.68937,1.04348,0.82893,0.85025,0.88835,0.61596,1.08667,0.84531,1.13076,0.000154151,0.000154151,0.000154151
47,590.225,1.00488,0.68535,1.02921,0.87284,0.8878,0.92194,0.6408,1.07465,0.73883,1.12301,0.000151399,0.000151399,0.000151399
48,604.637,1.00189,0.6903,1.03589,0.82105,0.84127,0.87493,0.6073,1.079,0.84943,1.1243,0.000148647,0.000148647,0.000148647
49,617.564,1.00941,0.67761,1.02947,0.79331,0.82173,0.86077,0.6061,1.07198,0.90949,1.12621,0.000145894,0.000145894,0.000145894
50,633.002,0.98201,0.67159,1.02642,0.85261,0.87014,0.90261,0.63477,1.06472,0.77072,1.12656,0.000143142,0.000143142,0.000143142
51,646.086,1.01938,0.70836,1.0437,0.87911,0.85643,0.90761,0.62529,1.08464,0.76991,1.12954,0.00014039,0.00014039,0.00014039
52,657.989,0.99514,0.66543,1.02236,0.88904,0.87995,0.92411,0.64257,1.07875,0.73133,1.13228,0.000137638,0.000137638,0.000137638
53,672.247,0.97714,0.647,1.0197,0.83346,0.85075,0.88778,0.62149,1.07161,0.81408,1.12745,0.000134886,0.000134886,0.000134886
54,685.305,0.98863,0.65994,1.02457,0.85826,0.89364,0.9176,0.63496,1.06847,0.73319,1.1267,0.000132133,0.000132133,0.000132133
55,698.29,0.96044,0.64467,1.01809,0.88255,0.89226,0.92171,0.64094,1.07319,0.72467,1.12359,0.000129381,0.000129381,0.000129381
56,711.254,0.99633,0.64747,1.02821,0.81718,0.84189,0.88223,0.6021,1.09811,0.84247,1.13617,0.000126629,0.000126629,0.000126629
57,724.183,0.98331,0.64221,1.01974,0.87128,0.86435,0.92195,0.64979,1.05838,0.72749,1.12092,0.000123877,0.000123877,0.000123877
58,738.856,0.98542,0.64181,1.02491,0.85098,0.86316,0.90941,0.63732,1.06225,0.7937,1.12596,0.000121125,0.000121125,0.000121125
59,752.05,0.98285,0.6608,1.01861,0.90245,0.89101,0.94305,0.66426,1.07933,0.68987,1.12373,0.000118372,0.000118372,0.000118372
60,767.02,0.97219,0.6273,1.02195,0.88738,0.90564,0.93824,0.65954,1.05818,0.68552,1.12303,0.00011562,0.00011562,0.00011562
61,779.291,0.95849,0.61555,1.01066,0.86245,0.85249,0.90622,0.64177,1.06015,0.77522,1.12339,0.000112868,0.000112868,0.000112868
62,790.934,0.96419,0.62518,1.01818,0.85566,0.88042,0.91431,0.6427,1.06988,0.7597,1.12655,0.000110116,0.000110116,0.000110116
63,803.795,0.97083,0.61,1.01789,0.88929,0.88592,0.93476,0.66185,1.06263,0.70559,1.1194,0.000107364,0.000107364,0.000107364
64,816.791,0.9435,0.60826,1.00369,0.88871,0.89505,0.93749,0.66112,1.0614,0.68571,1.13077,0.000104611,0.000104611,0.000104611
65,830.237,0.93983,0.59357,0.99976,0.88493,0.88732,0.92392,0.65412,1.05898,0.70968,1.12786,0.000101859,0.000101859,0.000101859
66,843.834,0.956,0.61888,1.01498,0.8706,0.90276,0.92698,0.65611,1.06255,0.72687,1.12562,9.9107e-05,9.9107e-05,9.9107e-05
67,859.064,0.94865,0.6015,1.00567,0.88337,0.88319,0.92993,0.66423,1.0594,0.70361,1.12266,9.63548e-05,9.63548e-05,9.63548e-05
68,872.686,0.96144,0.61408,1.01034,0.86269,0.86224,0.90922,0.64477,1.06342,0.76849,1.12824,9.36026e-05,9.36026e-05,9.36026e-05
69,885.552,0.92993,0.58406,1.00398,0.85424,0.87173,0.90942,0.64976,1.06231,0.75784,1.12203,9.08504e-05,9.08504e-05,9.08504e-05
70,898.241,0.94822,0.5922,1.00422,0.87364,0.88529,0.90899,0.6482,1.05917,0.74668,1.12669,8.80982e-05,8.80982e-05,8.80982e-05
71,911.809,0.94737,0.59375,1.00235,0.84123,0.85024,0.88897,0.63517,1.0454,0.82105,1.123,8.5346e-05,8.5346e-05,8.5346e-05
72,925.67,0.94253,0.59615,1.00641,0.88984,0.89316,0.92514,0.65784,1.06606,0.72335,1.13529,8.25938e-05,8.25938e-05,8.25938e-05
73,939.368,0.96075,0.60505,1.01111,0.79481,0.85086,0.86528,0.62045,1.06242,0.89179,1.12602,7.98416e-05,7.98416e-05,7.98416e-05
74,952.65,0.93675,0.59697,1.00212,0.81584,0.85903,0.89443,0.64191,1.04692,0.81621,1.12087,7.70894e-05,7.70894e-05,7.70894e-05
75,966.28,0.9516,0.57738,1.00215,0.87241,0.89271,0.91808,0.65602,1.04858,0.73263,1.12001,7.43372e-05,7.43372e-05,7.43372e-05
76,979.764,0.90943,0.5605,0.99692,0.85927,0.88126,0.90604,0.64505,1.06072,0.76818,1.12631,7.1585e-05,7.1585e-05,7.1585e-05
77,991.63,0.93452,0.57153,1.00383,0.84199,0.83091,0.88701,0.63277,1.05374,0.81508,1.12465,6.88328e-05,6.88328e-05,6.88328e-05
78,1004.04,0.90576,0.57824,0.99089,0.88948,0.89099,0.92839,0.66636,1.04061,0.68914,1.11679,6.60806e-05,6.60806e-05,6.60806e-05
79,1018.38,0.93331,0.57805,0.99886,0.88435,0.89048,0.9238,0.66061,1.04372,0.71953,1.12728,6.33284e-05,6.33284e-05,6.33284e-05
80,1030.83,0.91494,0.56261,0.9922,0.87802,0.89054,0.92035,0.65991,1.03802,0.71898,1.12228,6.05762e-05,6.05762e-05,6.05762e-05
81,1043.2,0.92817,0.56405,0.99316,0.88273,0.89177,0.92814,0.66109,1.0582,0.70039,1.12791,5.7824e-05,5.7824e-05,5.7824e-05
82,1055.65,0.88911,0.55685,0.98675,0.88508,0.88456,0.9302,0.67205,1.03915,0.7055,1.11879,5.50718e-05,5.50718e-05,5.50718e-05
83,1069.82,0.91147,0.55681,0.99448,0.87154,0.88842,0.92741,0.66804,1.03841,0.72016,1.12194,5.23196e-05,5.23196e-05,5.23196e-05
84,1084.21,0.90312,0.57007,0.98742,0.8881,0.88915,0.92545,0.66913,1.03935,0.70949,1.1185,4.95674e-05,4.95674e-05,4.95674e-05
85,1095.81,0.90219,0.54542,0.98969,0.87265,0.86957,0.91128,0.65704,1.04043,0.74868,1.11772,4.68152e-05,4.68152e-05,4.68152e-05
86,1107.79,0.93277,0.56631,0.99914,0.88323,0.87471,0.91498,0.65518,1.05392,0.73246,1.11995,4.4063e-05,4.4063e-05,4.4063e-05
87,1119.81,0.89609,0.55189,0.98812,0.88265,0.88113,0.92589,0.66411,1.04971,0.71316,1.12155,4.13108e-05,4.13108e-05,4.13108e-05
88,1132.19,0.91405,0.54775,0.989,0.89726,0.87933,0.92774,0.66222,1.05622,0.69715,1.12081,3.85586e-05,3.85586e-05,3.85586e-05
89,1144.43,0.90368,0.54112,0.9878,0.87183,0.8854,0.91643,0.66201,1.0404,0.72295,1.12141,3.58064e-05,3.58064e-05,3.58064e-05
90,1158.65,0.89166,0.54961,0.98439,0.87676,0.88922,0.91432,0.66199,1.04547,0.7287,1.11845,3.30542e-05,3.30542e-05,3.30542e-05
91,1172.54,0.8696,0.48135,0.9913,0.88767,0.90573,0.92429,0.66353,1.05395,0.71017,1.1261,3.0302e-05,3.0302e-05,3.0302e-05
92,1183.38,0.85617,0.47124,0.98776,0.89308,0.90511,0.92925,0.66566,1.05178,0.69147,1.12348,2.75498e-05,2.75498e-05,2.75498e-05
93,1194.57,0.85706,0.46936,0.98509,0.89429,0.89806,0.92764,0.6637,1.04538,0.69676,1.12188,2.47976e-05,2.47976e-05,2.47976e-05
94,1205.96,0.848,0.46368,0.98536,0.89153,0.89519,0.92355,0.66263,1.04751,0.71083,1.12575,2.20454e-05,2.20454e-05,2.20454e-05
95,1217.18,0.83576,0.45626,0.97849,0.88751,0.88612,0.91916,0.66051,1.04111,0.71744,1.12464,1.92932e-05,1.92932e-05,1.92932e-05
96,1228.78,0.83101,0.45174,0.97526,0.888,0.88923,0.92422,0.66391,1.04459,0.70864,1.12592,1.6541e-05,1.6541e-05,1.6541e-05
97,1238.95,0.8311,0.45078,0.97491,0.89125,0.88766,0.92697,0.66585,1.04612,0.70044,1.12648,1.37888e-05,1.37888e-05,1.37888e-05
98,1250.23,0.82446,0.44754,0.97522,0.89123,0.89391,0.92999,0.67047,1.04092,0.69054,1.12479,1.10366e-05,1.10366e-05,1.10366e-05
99,1261.77,0.82589,0.44891,0.97293,0.89164,0.89227,0.92926,0.67097,1.03941,0.69314,1.12493,8.2844e-06,8.2844e-06,8.2844e-06
100,1273.32,0.82734,0.4463,0.97558,0.89051,0.89103,0.92765,0.66859,1.04097,0.69458,1.12518,5.5322e-06,5.5322e-06,5.5322e-06
