epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,527.173,1.02607,0.74615,1.04068,0.7604,0.81281,0.83476,0.57827,1.09615,0.96819,1.1234,0.00016516,0.00016516,0.00016516
43,537.349,1.03618,0.72931,1.04664,0.84594,0.87559,0.89414,0.60933,1.11537,0.80562,1.14432,0.000162408,0.000162408,0.000162408
44,548.897,1.03489,0.71732,1.03919,0.86665,0.88785,0.91026,0.62859,1.08711,0.78643,1.12321,0.000159655,0.000159655,0.000159655
45,560.452,1.03836,0.70099,1.04284,0.7886,0.82594,0.85943,0.59662,1.0913,0.91587,1.13246,0.000156903,0.000156903,0.000156903
46,571.905,1.04174,0.68937,1.04348,0.8273,0.85073,0.88831,0.61589,1.08667,0.84531,1.13076,0.000154151,0.000154151,0.000154151
47,582.581,1.00488,0.68535,1.02921,0.87284,0.8878,0.92171,0.64055,1.07465,0.73883,1.12301,0.000151399,0.000151399,0.000151399
48,595.334,1.00189,0.6903,1.03589,0.82105,0.84127,0.87491,0.60728,1.079,0.84943,1.1243,0.000148647,0.000148647,0.000148647
49,606.518,1.00941,0.67761,1.02947,0.79331,0.82173,0.86073,0.60607,1.07198,0.90949,1.12621,0.000145894,0.000145894,0.000145894
50,618.131,0.98201,0.67159,1.02642,0.85261,0.87014,0.90258,0.63477,1.06472,0.77072,1.12656,0.000143142,0.000143142,0.000143142
51,630.101,1.01938,0.70836,1.0437,0.87911,0.85643,0.90749,0.62515,1.08464,0.76991,1.12954,0.00014039,0.00014039,0.00014039
52,641.639,0.99514,0.66543,1.02236,0.88893,0.87898,0.92408,0.64247,1.07875,0.73133,1.13228,0.000137638,0.000137638,0.000137638
53,654.271,0.97714,0.647,1.0197,0.83346,0.85075,0.88779,0.62155,1.07161,0.81408,1.12745,0.000134886,0.000134886,0.000134886
54,664.978,0.98863,0.65994,1.02457,0.85858,0.894,0.91769,0.63499,1.06847,0.73319,1.1267,0.000132133,0.000132133,0.000132133
55,676.681,0.96044,0.64467,1.01809,0.88255,0.89226,0.92167,0.64076,1.07319,0.72467,1.12359,0.000129381,0.000129381,0.000129381
56,689.922,0.99633,0.64747,1.02821,0.81718,0.84189,0.88237,0.60221,1.09811,0.84247,1.13617,0.000126629,0.000126629,0.000126629
57,701.035,0.98331,0.64221,1.01974,0.87128,0.86435,0.92201,0.64988,1.05838,0.72749,1.12092,0.000123877,0.000123877,0.000123877
58,713.929,0.98542,0.64181,1.02491,0.85098,0.86316,0.90952,0.63738,1.06225,0.7937,1.12596,0.000121125,0.000121125,0.000121125
59,725.164,0.98285,0.6608,1.01861,0.90245,0.89101,0.94304,0.66443,1.07933,0.68987,1.12373,0.000118372,0.000118372,0.000118372
60,738.464,0.97219,0.6273,1.02195,0.88738,0.90564,0.93822,0.65964,1.05818,0.68552,1.12303,0.00011562,0.00011562,0.00011562
61,749.766,0.95849,0.61555,1.01066,0.86058,0.85291,0.9063,0.64193,1.06015,0.77522,1.12339,0.000112868,0.000112868,0.000112868
62,761.119,0.96419,0.62518,1.01818,0.85566,0.88042,0.91422,0.64259,1.06988,0.7597,1.12655,0.000110116,0.000110116,0.000110116
63,771.84,0.97083,0.61,1.01789,0.88929,0.88592,0.93486,0.66197,1.06263,0.70559,1.1194,0.000107364,0.000107364,0.000107364
64,782.837,0.9435,0.60826,1.00369,0.88871,0.89505,0.93754,0.66113,1.0614,0.68571,1.13077,0.000104611,0.000104611,0.000104611
65,794.697,0.93983,0.59357,0.99976,0.88579,0.886,0.92401,0.65418,1.05898,0.70968,1.12786,0.000101859,0.000101859,0.000101859
66,806.283,0.956,0.61888,1.01498,0.8706,0.90276,0.92692,0.65596,1.06255,0.72687,1.12562,9.9107e-05,9.9107e-05,9.9107e-05
67,817.933,0.94865,0.6015,1.00567,0.88337,0.88319,0.92986,0.6643,1.0594,0.70361,1.12266,9.63548e-05,9.63548e-05,9.63548e-05
68,829.03,0.96144,0.61408,1.01034,0.86269,0.86224,0.9092,0.64469,1.06342,0.76849,1.12824,9.36026e-05,9.36026e-05,9.36026e-05
